Number Of Sentences	First Words	First POS tags	First Phrases
1	There	EX	NP
1	In	IN	PP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	Near	NNP	NP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
2	XNAMEX,XNAMEX	NNP,NNP	NP,NP
1	Near	IN	PP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	In	IN	PP
1	The	DT	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	XNAMEX	NNP	NP
1	The	DT	NP
1	Located	VBN	VP
1	XNAMEX	NNP	NP
1	Located	VBN	VP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	If	IN	SBAR
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
2	XNAMEX,No	NNP,DT	NP,NP
1	Riverside	NNP	NP
1	XNAMEX	NNP	NP
2	No,XNAMEX	DT,NNP	NP,NP
1	Burger	NNP	NP
1	XNAMEX	NNP	NP
1	Located	VBN	VP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	Not	RB	FRAG
1	XNAMEX	NNP	NP
2	XNAMEX,It	NNP,PRP	NP,NP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	VBD	VP
1	A	DT	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	In	IN	PP
1	For	IN	PP
1	The	DT	NP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	At	IN	PP
1	Located	VBN	VP
1	There	EX	NP
1	XNAMEX	NNP	NP
1	Being	VBG	VP
1	A	DT	NP
1	Visit	NNP	NP
1	For	IN	PP
2	XNAMEX,It	NNP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	There	EX	NP
1	XNAMEX	NNP	NP
2	The,It	DT,PRP	NP,NP
1	The	DT	NP
1	On	IN	PP
1	XNAMEX	NNP	NP
1	On	IN	PP
1	By	IN	PP
1	In	IN	PP
1	If	IN	SBAR
2	The,It	DT,PRP	NP,NP
1	If	IN	SBAR
1	Located	VBN	VP
1	Located	VBN	VP
1	A	DT	NP
1	XNAMEX	NNP	NP
2	You,It	PRP,PRP	NP,NP
1	XNAMEX	NNP	NP
1	XNAMEX	NNP	NP
1	Close-by	NN	NP
1	There	EX	NP
1	XNAMEX	NNP	NP
1	Located	VBN	VP
1	There	EX	NP
